Energy,Fe foil,Fe2O3,Fe3O4,FeO
8273.368,0.99226659,0.90794571,0.96575413,0.98132293
8280.02,0.99055335,0.90638096,0.96533967,0.98108631
8286.693,0.98945506,0.90481128,0.96492389,0.98084895
8293.384,0.98976381,0.90323736,0.96450699,0.98061094
8300.095,0.98913936,0.90165873,0.96408885,0.98037222
8306.823,0.98930598,0.90007611,0.96366965,0.98013289
8313.571,0.98952674,0.89848878,0.9632492,0.97989286
8320.339,0.98954844,0.89689675,0.9628275,0.97965211
8327.125,0.98809182,0.89530048,0.96240469,0.97941072
8333.931,0.98678583,0.89369951,0.96198062,0.97916862
8340.755,0.98807675,0.89209431,0.96155544,0.97892588
8347.598,0.98678433,0.89048464,0.96112907,0.97868247
