energy,Fe_foil,Fe2O3,Fe3O4,FeO
7931.152,-5.92E-06,2.15E-05,1.77E-06,1.99E-06
7936.74,3.80E-06,1.69E-05,4.49E-08,1.30E-06
7942.347,1.21E-05,-9.45E-06,-1.67E-06,2.91E-06
7947.973,-7.50E-06,-1.18E-05,-3.63E-06,6.74E-07
7953.618,-1.34E-05,7.28E-06,-3.40E-06,-5.74E-06
7959.282,1.55E-06,-6.10E-06,3.55E-06,-1.19E-06
7964.965,1.13E-05,-1.22E-05,1.09E-05,1.80E-06
7970.667,4.20E-06,3.20E-06,1.30E-05,7.71E-07
7976.388,-5.59E-06,1.87E-05,1.51E-05,2.67E-06
7982.128,-9.89E-06,3.42E-05,1.72E-05,3.53E-07
7987.887,-4.83E-06,4.98E-05,1.94E-05,-1.03E-06
7993.665,5.08E-06,6.55E-05,2.15E-05,-7.52E-08
7999.462,1.19E-06,8.12E-05,2.37E-05,-2.45E-07
8005.278,-5.85E-07,9.69E-05,2.58E-05,8.25E-07
8011.114,3.77E-06,1.13E-04,2.80E-05,4.87E-07
8016.968,-9.50E-07,1.29E-04,3.01E-05,-1.60E-06
8022.841,-3.93E-06,1.44E-04,3.23E-05,-1.29E-06
8028.733,-2.97E-06,1.60E-04,3.45E-05,1.11E-06
8034.644,-3.91E-06,1.76E-04,3.67E-05,1.87E-06
8040.575,2.71E-06,1.92E-04,3.89E-05,4.70E-07
8046.524,5.13E-06,2.09E-04,4.11E-05,-5.23E-07
8052.493,-2.37E-06,2.25E-04,4.33E-05,-9.40E-08
8058.48,2.06E-07,2.41E-04,4.55E-05,9.91E-07
8064.486,3.52E-06,2.57E-04,4.77E-05,5.06E-07
8070.512,1.81E-07,2.74E-04,5.00E-05,-5.44E-07
8076.556,3.47E-06,2.90E-04,5.22E-05,1.88E-06
8082.62,5.57E-06,3.06E-04,5.44E-05,6.96E-06
8088.702,7.38E-08,3.23E-04,5.67E-05,3.02E-05
8094.803,1.73E-06,3.39E-04,5.90E-05,5.56E-05
8100.924,3.37E-06,3.56E-04,6.12E-05,8.11E-05
8107.063,-5.80E-06,3.72E-04,6.35E-05,1.07E-04
8113.222,-5.99E-06,3.89E-04,6.58E-05,1.32E-04
8119.399,3.46E-06,4.06E-04,6.81E-05,1.58E-04
8125.596,4.17E-06,4.23E-04,7.04E-05,1.84E-04
8131.812,-4.40E-06,4.39E-04,7.27E-05,2.10E-04
8138.046,-1.37E-06,4.56E-04,7.50E-05,2.36E-04
8144.3,7.97E-06,4.73E-04,7.73E-05,2.62E-04
8150.573,-3.38E-06,4.90E-04,7.96E-05,2.88E-04
8156.865,-7.05E-06,5.07E-04,8.19E-05,3.14E-04
8163.175,1.03E-05,5.24E-04,8.43E-05,3.40E-04
8169.505,8.02E-06,5.42E-04,8.66E-05,3.67E-04
8175.853,-1.25E-05,5.59E-04,8.90E-05,3.93E-04
8182.222,-1.01E-05,5.76E-04,9.13E-05,4.20E-04
8188.608,6.21E-06,5.93E-04,9.37E-05,4.46E-04
8195.014,7.90E-06,6.11E-04,9.61E-05,4.73E-04
